"id","import_id","time","import_time","project_code","product_name","part_no","origin","quantity","seri_number","deleted","statistical_id"
632,"4513626302",2025-11-04 14:39:56.983,2025-11-04 14:39:56.983,ES755-A2501,,"1P6SL3000-0CH32-7AA0",,1,SJTA25462589011,false,
631,"4513626302",2025-11-04 14:39:51.152,2025-11-04 14:39:51.152,ES755-A2501,,"1P6SL3000-0CH32-7AA0",,1,SJTA25462589006,false,
627,"4513626302",2025-11-04 14:39:32.492,2025-11-04 14:39:32.492,ES755-A2501,,"1P6SL3000-0CH32-7AA0",,1,SJTA25462589007,false,
619,"4513626302",2025-11-04 13:54:10.644,2025-11-04 13:54:10.644,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589019,false,
618,"4513626302",2025-11-04 13:53:42.674,2025-11-04 13:53:42.674,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589008,false,
617,"4513626302",2025-11-04 13:52:38.473,2025-11-04 13:52:38.473,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589017,false,
616,"4513626302",2025-11-04 13:51:18.526,2025-11-04 13:51:18.526,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589022,false,
615,"4513626302",2025-11-04 13:50:46.607,2025-11-04 13:50:46.607,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589009,false,
614,"4513626302",2025-11-04 13:49:53.695,2025-11-04 13:49:53.695,ES755-A2501,,"1P6SL3000-0CH32-7AA0",,1,SJTA25462589005,false,
613,"4513626302",2025-11-04 13:48:53.655,2025-11-04 13:48:53.655,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589002,false,
612,"4513626302",2025-11-04 13:47:39.294,2025-11-04 13:47:39.294,ES755-A2501,,"1P6SL3000-0CH32-7AA0",,1,SJTA25462589014,false,
611,"4513626302",2025-11-04 13:46:44.244,2025-11-04 13:46:44.244,ES755-A2501,"SINAMICS LINE REACTOR 660-690V 270A
SINAMICS
","1P6SL3000-0CH32-7AA0",Siemens,1,SJTA25462589020,false,
